channelGrouping,grouping_.geoNetwork_country,grouping_.country.date,grouping_.country.totals_transactions
,,20160816,6
,,20160817,13
,,20160822,3
,,20161014,4
,,20161104,1
,,20161119,7
,,20161120,2
,,20161128,4
,,20161129,3
,,20161130,62
,,20161201,14
,,20161202,5
,,20161203,3
,,20161204,1
,,20161205,7
,,20161207,2
,,20161208,1
,,20161209,1
,,20161211,8
,,20161212,6
,,20161213,2
,,20161214,3
,,20161215,3
,,20161216,1
,,20161217,2
,,20161219,2
,,20161220,3
,,20161221,5
,,20161222,2
,,20161223,2
,,20161228,5
,,20170102,8
,,20170103,5
,,20170106,1
,,20170115,1
,,20170118,1
,,20170120,1
,,20170122,1
,,20170124,5
,,20170128,3
,,20170130,1
,,20170202,1
,,20170203,2
,,20170204,1
,,20170208,1
,,20170210,1
,,20170212,1
,,20170213,1
,,20170214,1
,,20170217,1
,,20170219,3
,,20170222,1
,,20170225,1
,,20170227,3
,,20170301,1
,,20170306,1
,,20170307,3
,,20170308,1
,,20170317,1
,,20170318,1
,,20170324,1
,,20170325,1
,,20170326,3
,,20170327,4
,,20170328,3
,,20170329,3
,,20170402,1
,,20170403,1
,,20170405,1
,,20170410,3
,,20170412,1
,,20170413,3
,,20170414,2
,,20170422,1
,,20170423,2
,,20170424,3
,,20170425,1
,,20170426,10
,,20170503,2
,,20170505,2
,,20170508,1
,,20170509,1
,,20170510,1
,,20170513,1
,,20170517,4
,,20170518,1
,,20170519,2
,,20170522,1
,,20170526,1
,,20170530,2
,,20170604,1
,,20170607,1
,,20170612,3
,,20170613,4
,,20170614,3
,,20170618,2
,,20170619,1
,,20170621,5
,,20170623,4
,,20170629,1
,,20170703,2
,,20170704,2
,,20170706,1
,,20170712,3
,,20170713,1
,,20170715,1
,,20170717,3
,,20170718,1
,,20170719,2
